iter	Passed	Remaining
0	2	2563
1	4	2431
2	6	2305
3	8	2227
4	10	2156
5	12	2132
6	14	2120
7	16	2100
8	18	2078
9	20	2075
10	22	2062
11	24	2043
12	27	2060
13	29	2042
14	31	2036
15	32	2017
16	34	2008
17	36	2014
18	38	2012
19	41	2013
20	43	2010
21	45	2005
22	47	2006
23	49	2003
24	51	1997
25	53	1996
26	55	1998
27	57	1994
28	59	1990
29	61	1988
30	63	1985
31	65	1989
32	67	1983
33	69	1984
34	71	1981
35	74	1988
36	76	1993
37	78	1989
38	80	1984
39	82	1982
40	84	1978
41	86	1974
42	88	1970
43	90	1967
44	92	1965
45	94	1961
46	96	1956
47	98	1960
48	100	1959
49	102	1956
50	105	1954
51	107	1952
52	109	1951
53	111	1951
54	113	1948
55	115	1949
56	117	1944
57	119	1940
58	121	1935
59	123	1930
60	125	1925
61	127	1922
62	129	1924
63	131	1921
64	133	1918
65	135	1913
66	137	1911
67	139	1908
68	141	1906
69	143	1905
70	145	1903
71	147	1900
72	149	1897
73	151	1896
74	154	1904
75	156	1901
76	158	1899
77	160	1895
78	162	1893
79	164	1890
80	166	1889
81	168	1886
82	170	1883
83	172	1879
84	174	1878
85	176	1875
86	178	1872
87	180	1871
88	182	1872
89	184	1869
90	186	1865
91	188	1862
92	190	1861
93	192	1858
94	194	1856
95	196	1854
96	198	1850
97	200	1848
98	202	1846
99	204	1843
100	206	1840
101	208	1836
102	210	1834
103	213	1838
104	215	1838
105	217	1836
106	219	1835
107	221	1831
108	223	1828
109	225	1825
110	227	1822
111	229	1819
112	231	1816
113	233	1813
114	235	1811
115	237	1809
116	239	1808
117	241	1807
118	243	1804
119	245	1802
120	247	1800
121	250	1803
122	252	1802
123	254	1800
124	257	1799
125	259	1797
126	261	1797
127	263	1793
128	265	1791
129	267	1788
130	269	1786
131	271	1784
132	273	1785
133	275	1783
134	277	1780
135	280	1779
136	282	1776
137	284	1774
138	286	1772
139	288	1769
140	290	1767
141	292	1765
142	294	1763
143	296	1760
144	298	1758
145	300	1756
146	302	1753
147	304	1750
148	306	1748
149	308	1745
150	310	1743
151	311	1740
152	313	1737
153	315	1734
154	317	1731
155	319	1729
156	321	1728
157	323	1725
158	325	1723
159	327	1721
160	329	1718
161	331	1715
162	333	1714
163	335	1712
164	338	1710
165	340	1708
166	342	1706
167	344	1704
168	346	1702
169	348	1701
170	350	1700
171	352	1697
172	354	1695
173	356	1692
174	358	1690
175	360	1688
176	362	1686
177	364	1684
178	366	1682
179	368	1680
180	370	1678
181	372	1675
182	374	1672
183	376	1670
184	378	1668
185	380	1666
